"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYNJ2BP",0.0533172789909364,0.370549341712475,0.04,0.026,1
"PUM1",0.0534087851009002,-0.925212326479107,0.027,0.041,1
"ZNF14",0.0536063390203005,0.932677135967659,0.011,0.004,1
"PRR4",0.0536319692993756,0.384829636361423,0.052,0.036,1
"KIAA1715",0.0537379917876069,0.959570389056133,0.028,0.017,1
"SEC22C",0.0537537751477992,0.515463784988837,0.057,0.041,1
"BIVM",0.0537756215009706,0.93968551145084,0.011,0.004,1
"NAGPA",0.0538006823534295,-0.385858587980848,0.04,0.056,1
"DHX9",0.0538848026894045,0.839193574083269,0.074,0.056,1
"GSPT1",0.0539904112450982,0.578835121663891,0.091,0.073,1
"ZNF276",0.0540108960971006,0.648696441024625,0.067,0.049,1
"UBE2M",0.054109119807894,-0.589578581302256,0.02,0.032,1
"NDRG2",0.0541543191470897,0.908843260143438,0.026,0.015,1
"RGMB",0.0542007810778857,0.762045493758094,0.011,0.004,1
"NCBP1",0.0542054552132843,-0.367339549038717,0.013,0.024,1
"EIF5A2",0.0542713253557552,0.825383389369981,0.018,0.009,1
"DESI2",0.0543090224562511,-0.466587424591037,0.02,0.032,1
"TAPT1",0.0544698235786763,-1.73418279358948,0.004,0.011,1
"SNRNP40",0.0544831051698753,0.357858556505639,0.13,0.108,1
"GNPDA2",0.054517800452621,1.00140743199667,0.03,0.019,1
"PLEKHB2",0.0545470574474719,-0.266769235539021,0.05,0.068,1
"RCCD1",0.0547189269805284,1.15118501271077,0.02,0.011,1
"ABCA5",0.0547599900925941,1.45642402797444,0.014,0.007,1
"SPATA24",0.0548222648890432,-1.2967838513226,0.004,0.011,1
"DTX2",0.0548612342384675,-0.974210497864243,0.01,0.019,1
"RP3-402G11.25",0.0549991974259422,-1.25925032264259,0.004,0.011,1
"POT1",0.0550059761348638,0.985549492366898,0.02,0.011,1
"WDR89",0.0550420582716196,0.726708598583734,0.018,0.009,1
"ERMAP",0.0550878420718322,-1.15037849407886,0.004,0.011,1
"PROCA1",0.0550878420718322,-0.715017563506355,0.004,0.011,1
"IL4R",0.0551735603929494,-1.00641834083577,0.052,0.068,1
"RP11-386G11.5",0.0552654887003867,-1.22878985251976,0.004,0.011,1
"AC004951.6",0.0553210930509862,1.11061536214378,0.022,0.012,1
"LSM14B",0.0553544909159274,-1.25149857601437,0.004,0.011,1
"GPD2",0.0553990367999746,-0.589141237278719,0.004,0.011,1
"TMEM150A",0.0554782279770465,-0.651565093605911,0.014,0.024,1
"MRI1",0.0554954306558459,0.871577374086199,0.024,0.014,1
"IPP",0.0555075163827339,0.882197937715545,0.02,0.011,1
"CCDC77",0.0555962972366445,-0.835978713915669,0.01,0.019,1
"MMAA",0.0556398114346974,1.06965352394584,0.014,0.007,1
"LENG1",0.0557069519177,0.571797519349214,0.108,0.087,1
"SGSM2",0.0557136585140912,1.23650223294689,0.014,0.007,1
"ZNF528",0.0557136585140912,1.67250361198917,0.014,0.007,1
"PAOX",0.0557464983078374,-0.830517584070667,0.015,0.025,1
"ACN9",0.055769681759674,0.291029922791353,0.1,0.078,1
"POLR3E",0.0558124835798077,0.87892445037895,0.035,0.023,1
"ZBTB22",0.055853887173613,-0.801557873312676,0.01,0.019,1
"C16orf70",0.0558861557026743,-0.981359153110103,0.01,0.019,1
"SRSF10",0.0559863027686449,0.364521440063587,0.056,0.04,1
"ZSCAN25",0.0560098638272113,1.07400103644072,0.014,0.007,1
"MIB2",0.0561454855714341,0.301627434242618,0.074,0.055,1
"FAM175A",0.0561577519623757,0.542706548721122,0.062,0.045,1
"POLR3F",0.0562786238104644,0.80895846940338,0.026,0.015,1
"SLC25A11",0.056349005210717,-0.324789253546362,0.115,0.141,1
"CTD-3185P2.1",0.0564192865327733,0.924943413183282,0.014,0.007,1
"KIAA0319L",0.0564815096927519,-0.501603174353919,0.033,0.047,1
"FAM227B",0.0566436560943564,0.919402510916592,0.014,0.007,1
"SGTB",0.0566926953357194,0.861565001561686,0.031,0.02,1
"CPSF1",0.056893109029268,-0.636377098924842,0.021,0.033,1
"NEK8",0.0570569289533218,-2.39349486912912,0.007,0.015,1
"PELP1",0.0570815932795166,0.806284993122488,0.031,0.02,1
"RP11-468E2.5",0.0571896863276048,-0.446057467682975,0.01,0.019,1
"PAIP2B",0.0574348052065863,-1.29579429934431,0.007,0.015,1
"IRF4",0.0574348052065863,-1.27579266275406,0.007,0.015,1
"HOXB2",0.0574723419333185,0.477128427445739,0.045,0.031,1
"RP13-188A5.1",0.0574727070221907,-1.17337683893637,0.007,0.015,1
"TMX4",0.0578263116020734,0.334886723524162,0.083,0.064,1
"RP11-356I2.4",0.0578375147075851,0.719334684129963,0.024,0.014,1
"SEC16A",0.0578409184763645,-0.507285307813804,0.021,0.033,1
"ESYT2",0.0582837382786412,0.563687584784321,0.04,0.027,1
"NCOA6",0.0583096520213943,-0.91501049380328,0.011,0.02,1
"DCTD",0.0584096291999214,-0.259418184267355,0.067,0.087,1
"HMGN2",0.0589859087630917,-0.372033561490391,0.084,0.107,1
"RAPGEF6",0.0590101740406708,0.535772192609572,0.024,0.014,1
