"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00798697785962843,3.27667990837041,0.25,0.028,1,"CMP","ANKRD36C"
0.00799618053491691,1.55381193984752,0.5,0.086,1,"CMP","C22orf39"
0.00802376158405393,2.56333580835038,0.25,0.027,1,"CMP","EML2"
0.00809184493118131,1.56744354772852,0.75,0.177,1,"CMP","DCXR"
0.00811892233842304,2.1445293351336,0.5,0.101,1,"CMP","CTNNBL1"
0.00815961518830188,1.57422454907472,0.75,0.179,1,"CMP","RNF130"
0.00825536322790144,2.61762475104598,0.25,0.027,1,"CMP","CHD8"
0.00826103308010095,2.71947284448621,0.25,0.028,1,"CMP","PAICS"
0.00842594868985147,2.38728006254761,0.25,0.027,1,"CMP","SPEN"
0.00848350748115823,1.86089536954951,0.25,0.027,1,"CMP","MUM1"
0.00854141735361114,2.38263972768056,0.25,0.027,1,"CMP","MEGF9"
0.00862871000211629,1.21269604471978,0.75,0.178,1,"CMP","C16orf13"
0.00866254227245333,2.09708371132036,0.5,0.097,1,"CMP","ING4"
0.00871221206124106,2.9145940221094,0.25,0.028,1,"CMP","NFE2"
0.00871877951406197,2.66347562756725,0.25,0.028,1,"CMP","ZNF644"
0.00872574327668141,1.09538887587297,1,0.256,1,"CMP","PCNP"
0.00874023528122625,0.824013885136696,0.75,0.159,1,"CMP","PQBP1"
0.00880829742688349,1.15988194314785,0.5,0.088,1,"CMP","CDC40"
0.00883721444806351,0.950139270219621,1,0.981,1,"CMP","RPS3A"
0.00889670103725271,2.6549227545215,0.25,0.028,1,"CMP","PHTF1"
0.00891224708833716,1.55278203518607,0.5,0.088,1,"CMP","DDA1"
0.00892074081144734,3.58646467707726,0.25,0.03,1,"CMP","ETV6"
0.00895672478788856,2.68045500436374,0.25,0.028,1,"CMP","SKP2"
0.00901710994576166,2.53033188347237,0.25,0.028,1,"CMP","RP5-940J5.9"
0.00906634947086182,2.93873134599605,0.25,0.028,1,"CMP","CDK16"
0.00907398335634602,1.61004322122308,0.5,0.088,1,"CMP","MRPL48"
0.00919162600410983,2.39102731913808,0.5,0.109,1,"CMP","ITGAE"
0.00920045231580269,2.5378260273064,0.25,0.028,1,"CMP","SESN3"
0.00920188884710682,2.17169450167736,0.5,0.099,1,"CMP","MGEA5"
